supplier_name,true_name
Deloitte Pty Ltd,Deloitte
Deloitte Pty. Ltd.,Deloitte
Deloitte Partners,Deloitte
Deloite Pty Ltd,Deloitte
Deloitte Australia,Deloitte
PwC LLP,PwC
PWC Limited,PwC
PricewaterhouseCoopers,PwC
KPMG LLP,KPMG
KPMG Ltd,KPMG
EY LLP,EY
Ernst & Young,EY
Ernst and Young UK,EY
E.Y. LLP,EY
Accenture Ltd,Accenture
Accenture PLC,Accenture
Accenture Consulting,Accenture
IBM Corp,IBM
IBM Corporation,IBM
I.B.M.,IBM
Microsoft Ltd,Microsoft
Microsoft Corporation,Microsoft
Amazon Web Services,AWS
AWS Ltd,AWS
Amazon Web Svcs,AWS
Google LLC,Google
Google UK Ltd,Google
Gooogle LLC,Google
Oracle Corp,Oracle
Oracle Ltd,Oracle
SAP SE,SAP
SAP Systems,SAP
S.A.P. Ltd,SAP
Capgemini UK,Capgemini
Cap Gemini Ltd,Capgemini
Infosys Ltd,Infosys
Infosys Consulting,Infosys
Tata Consultancy Services,TCS
TCS Ltd,TCS
TCS UK Ltd,TCS
Tata Consulting Services,TCS
Wipro Ltd,Wipro
Wipro Technologies,Wipro
Cognizant Ltd,Cognizant
Cognizent Ltd,Cognizant
DXC Technology,DXC
DXC Tech Ltd,DXC
HCL Technologies,HCL
Fujitsu Ltd,Fujitsu
Fujitsu UK Ltd,Fujitsu
Fujitsu Services,Fujitsu
Hitachi Ltd,Hitachi
Hitachi Systems,Hitachi
Siemens AG,Siemens
Siemens Ltd,Siemens
Schneider Electric,Schneider Electric
Schneider Electrics,Schneider Electric
Honeywell Ltd,Honeywell
3M Company,3M
Three M Ltd,3M
General Electric,GE
GE Ltd,GE
G.E. Ltd,GE
Bosch Ltd,Bosch
Robert Bosch Ltd,Bosch
Johnson Controls,Johnson Controls
Johnson Control Ltd,Johnson Controls
Cisco Systems,Cisco
Cisco Ltd,Cisco
CISCO Ltd,Cisco
Dell Technologies,Dell
Dell Ltd,Dell
HP Inc,HP
Hewlett Packard,HP
Lenovo Ltd,Lenovo
Lenova Ltd,Lenovo
Asus Ltd,Asus
ASUS UK,Asus
Acer Ltd,Acer
Acer Computers,Acer
