name_a,name_b,match
booz allen hamilton,kpmg,False
commonwealth bank,mckinsey company,False
ernst young,kpmg,False
wesfarmers,wesfarmers solutions,True
booz allen hamilton,booz hamilton,True
deloitte,commonwealth bank,False
booz allen hamilton,booz allen hamilton services,True
price waterhouse coopers,price waterhouse,True
commonwealth bank,bank,True
johnson controls,johnson controls services,True
woolworths group,group,True
boston consulting group,bsoton consulting group,True
johnson controls,commonwealth bank,False
boston consulting group,wesfarmers,False
wesfarmers,ewsfarmers,True
boston consulting group,boston group,True
macquarie group,macquarie group solutions,True
price waterhouse coopers,priec waterhouse coopers,True
woolworths group,woolworths group consulting,True
bhp billiton,bhp billiton partners,True
accenture,deloitte,False
ernst young,kpmg,False
johnson controls,macquarie group,False
johnson controls,bhp billiton,False
macquarie group,macquarie group solutions,True
accenture,accetnure,True
johnson controls,johnson,True
wesfarmers,johnson controls,False
mckinsey company,company,True
booz allen hamilton,booz allen hamitlon,True
mckinsey company,woolworths group,False
accenture,schneider electric,False
price waterhouse coopers,booz allen hamilton,False
deloitte,price waterhouse coopers,False
macquarie group,accenture,False
wesfarmers,wesfarmers partners,True
commonwealth bank,commonwelath bank,True
woolworths group,mckinsey company,False
commonwealth bank,wesfarmers,False
booz allen hamilton,schneider electric,False
price waterhouse coopers,price waterhouse coopers consulting,True
woolworths group,bhp billiton,False
commonwealth bank,commonwealth bank partners,True
schneider electric,ernst young,False
johnson controls,johnson contrlos,True
macquarie group,macquarie,True
schneider electric,schneider electric advisory,True
accenture,booz allen hamilton,False
schneider electric,schneider eelctric,True
booz allen hamilton,mckinsey company,False
wesfarmers,price waterhouse coopers,False
mckinsey company,cmkinsey company,True
booz allen hamilton,commonwealth bank,False
deloitte,deloitte group,True
boston consulting group,boston consulting group consulting,True
macquarie group,johnson controls,False
kpmg,kpmg group,True
bhp billiton,price waterhouse coopers,False
macquarie group,macquarie gorup,True
deloitte,accenture,False
woolworths group,boston consulting group,False
ernst young,boston consulting group,False
bhp billiton,billiton,True
kpmg,kpmg services,True
schneider electric,schneider,True
commonwealth bank,accenture,False
schneider electric,wesfarmers,False
deloitte,boston consulting group,False
woolworths group,woolworths group group,True
ernst young,mckinsey company,False
kpmg,boston consulting group,False
schneider electric,woolworths group,False
booz allen hamilton,booz allen hamilton partners,True
ernst young,ernst young consulting,True
bhp billiton,macquarie group,False
kpmg,ernst young,False
mckinsey company,mckinsey company advisory,True
deloitte,deloitte consulting,True
ernst young,bhp billiton,False
macquarie group,mckinsey company,False
bhp billiton,bhp iblliton,True
schneider electric,mckinsey company,False
commonwealth bank,commonwealth bank consulting,True
accenture,accenture consulting,True
price waterhouse coopers,wesfarmers,False
woolworths group,macquarie group,False
ernst young,ernst yonug,True
deloitte,schneider electric,False
kpmg,booz allen hamilton,False
accenture,accenture solutions,True
boston consulting group,boston consulting group group,True
bhp billiton,bhp billiton consulting,True
ernst young,ernst,True
price waterhouse coopers,price waterhouse coopers solutions,True
woolworths group,woolworths gorup,True
wesfarmers,kpmg,False
johnson controls,mckinsey company,False
schneider electric,ernst young,False
johnson controls,johnson controls solutions,True
commonwealth bank,johnson controls,False
bhp billiton,wesfarmers,False
schneider electric,schneider electric group,True
mckinsey company,mckinsey company partners,True
boston consulting group,johnson controls,False
kpmg,pkmg,True
boston consulting group,woolworths group,False
macquarie group,deloitte,False
accenture,kpmg,False
price waterhouse coopers,accenture,False
ernst young,ernst young consulting,True
